index,collection,type,bilingual_multilingual,family_id,publication_id,url,title,subtitle,full_title,authors,publication_date,edition,publisher,volume,issue,series,series_number,publication_place,pages,isbn,issn,doi,formats,original_book_ids,original_languages,translated_languages,publication_languages,translators,editors,foreword_authors,afterword_authors,illustrators,read_link,publisher_link,buy_link,other_link_description,other_link,cover,gallery,notes
1,books,,FALSE,senhoras,senhoras,poetry/books/senhoras,Senhoras e Senhores: o Amanhecer,,Senhoras e Senhores: o Amanhecer,Narlan Matos,1997,,Fundação Casa de Jorge Amado,,,,,,,,,,,,Portuguese,,,,,,,,,,,,,/assets/images/books/senhoras.jpg,,
2,books,,FALSE,acampamento,acampamento,poetry/books/acampamento,No Acampamento das Sombras,,No Acampamento das Sombras,Narlan Matos,2001,,Cone Sul,,,,,,,,,,,,Portuguese,,,,,,,,,,,,,/assets/images/books/acampamento.jpg,,
3,books,,FALSE,elegia,elegia,poetry/books/elegia,Elegia ao Novo Mundo,,Elegia ao Novo Mundo  e Outros Poemas,Narlan Matos,2012,,7 Letras,,,,,"Rio de Janeiro, Brazil",94,978-8575778937,,,,,Portuguese,,,,,,,,,https://7letras.com.br/livro/elegia-ao-novo-mundo/,,,,/assets/images/books/elegia.jpg,,
4,books,,FALSE,alaude,alaude,poetry/books/alaude,"Um Alaúde, a Península e Teus Olhos Negros",,"Um Alaúde, a Península e Teus Olhos Negros",Narlan Matos,2017,,Penalux,,,,,,,978-8558332279,,,,,Portuguese,,,,,,,,https://loja.editoralitteralux.com.br/image/catalog/PDF/9788558332279.pdf,https://loja.editoralitteralux.com.br/um-alaude-a-peninsula-e-teus-olhos-negros,https://www.amazon.com.br/Ala%C3%BAde-Pen%C3%ADnsula-Teus-Olhos-Negros/dp/8558332274/,,,/assets/images/books/alaude.jpg,,
5,books,,FALSE,canto,canto,poetry/books/canto,Canto aos Homens de Boa Vontade,,Canto aos Homens de Boa Vontade,Narlan Matos,2018,,Penalux,,,,,,,978-8558333641,,,,,Portuguese,,,,,,,,https://loja.editoralitteralux.com.br/image/catalog/PDF/9788558333641.pdf,https://loja.editoralitteralux.com.br/canto-aos-homens-de-boa-vontade,https://www.amazon.com.br/Canto-aos-homens-boa-vontade/dp/8558333645/,,,/assets/images/books/canto.jpg,,
6,books,,FALSE,caminheiros,caminheiros,poetry/books/caminheiros,"Eu e Tu, Caminheiros Dessa Vida",,"Eu e Tu, Caminheiros Dessa Vida",Narlan Matos,2019,,Penalux,,,,,,,978-8558335676,,,,,Portuguese,,,,,,,,https://loja.editoralitteralux.com.br/image/catalog/PDF/9788558335676.pdf,https://loja.editoralitteralux.com.br/eu-e-tu-caminheiros-dessa-vida,https://www.amazon.com.br/Eu-tu-caminheiros-dessa-vida/dp/8558335672/,,,/assets/images/books/caminheiros.jpg,,
7,books,,FALSE,narciso,narciso,poetry/books/narciso,Narciso Selvagem,,Narciso Selvagem,Narlan Matos,2022,,Penalux,,,,,,,,,,,,Portuguese,,,,,,,,https://loja.editoralitteralux.com.br/image/catalog/PDF/9786558623397.pdf,https://loja.editoralitteralux.com.br/narciso-selvagem,,,,/assets/images/books/narciso.jpg,,
8,books,,FALSE,rebanhos,rebanhos,poetry/books/rebanhos,Rebanhos de Estrelas,,Rebanhos de Estrelas,Narlan Matos,2023,,Bestiário,,,,,,,978-6585039451,,,,,Portuguese,,,,,,,,,https://editoralumina.com.br/produto/rebanhos-de-estrelas/,https://www.amazon.com.br/Rebanhos-estrelas-outros-poemas-Narlan/dp/6585039459,,,/assets/images/books/rebanhos.jpg,,
9,anthologies,chapbook,FALSE,mim,mim,poetry/anthologies/mim,"Mim, Fim",,"Mim, Fim",Narlan Matos,2017,,Projecto Leve um Livro,,,Coleção Leve um Livro,,"Belo Horizonte, Brazil",16,,,,,,Portuguese,,,,,,,,,,,GoodReads,https://www.goodreads.com/book/show/37551683-mim-fim,/assets/images/books/mim.jpg,,
10,anthologies,,FALSE,duet,duet-pt,poetry/anthologies/duet-pt,Dueto de Pontos,Poetas do Oeste-Leste em Simpatia: Diálogo Poêtico,Dueto de Pontos: Poetas do Oeste-Leste em Simpatia: Diálogo Poêtico,Narlan Matos; Maki Starfield,2020,Portuguese Edition,JUNPA Books,,,,,,97,978-1071580684,,,eBook,,Portuguese; Japanese,Portuguese,,Marcelo Martins,Mariko Sumikura,,,James Spitzer,https://www.amazon.com/Dueto-Pontos-Portuguese-Narlan-Matos-ebook/dp/B08TVZM6HN/,,https://www.amazon.com/Dueto-Pontos-Portuguese-Narlan-Matos-ebook/dp/B08TVZM6HN/,,,/assets/images/books/duet-pt.jpg,,
11,translations,translated_anthology,FALSE,poetry-mens-lives,poetry-mens-lives,translations/poetry-mens-lives,The Poetry of Men's Lives,an International Anthology,The Poetry of Men's Lives: an International Anthology,,2004,,University of Georgia Press,,,,,,448,978-0820326498,,,hardback; paperback,,Portugusee; many more,English,,Narlan Matos; Al Zolynas; many more,Fred Moramarco; Al Zolynas,,,,,,https://www.amazon.com/Poetry-Mens-Lives-International-Anthology/dp/0820326496,,,/assets/images/translations/poetry-mens-lives.jpg,,
12,translations,bilingual_edition,TRUE,poetinis,poetinis,translations/poetinis,Poetinis Druskinink (Drukininkai Poetic),ruduo 2012 (fall 2012),Poetinis Druskinink ruduo 2012  (Drukininkai Poetic fall 2012),,2012,,,,,,,,,,,,,elegia,Portugusee; many more,Lithuanian,,Arvydas Makštutis,MARIUS BUROKAS; KERRY SHAWN KEYS ; ADA VALAITIS,,,,,,,,,/assets/images/translations/poetinis.jpg,,selected poems
13,translations,bilingual_edition,TRUE,autores,autores,translations/autores,Autores Baianos,um Panorama,Autores Baianos: um Panorama,ANTONIO BRASILEIRO; CYRO DE MATTOS; JOSÉ CARLOS LIMEIRA; JOSÉ INÁCIO VIEIRA DE MELO; LANDE ONAWALE; LAURA CASTRO; LUCIANY APARECIDA; MARCUS VINÍCIUS RODRIGUES; MARIA DA CONCEIÇÃO PARANHOS; MARIANA PAIVA; NARLAN MATOS; TOM CORREIA,2014,,P55 Edições,2,,,,"Salvador, Bahia, Brazil",432,978-85-8325-029-4,,,paperback; eBook,,Portuguese,German; English; Spanish,,,Organização Fundação Cultural do Estado da Bahia (FUNCEB),,,,https://www.ba.gov.br/fundacaocultural/sites/site-funceb/files/migracao_2024/arquivos/File/imagenswordpress/2014/11/livro_autores_baianos_um_panorama_volume_2.pdf,https://www.ba.gov.br/fundacaocultural/sites/site-funceb/files/migracao_2024/arquivos/File/imagenswordpress/2014/11/livro_autores_baianos_um_panorama_volume_2.pdf,,Archived Copy,assests/docs/publications/livro_autores_baianos_um_panorama_volume_2.pdf,/assets/images/translations/autores.jpg,/assets/images/translations/autores-back.jpg,
14,translations,translated_anthology,FALSE,duet,duet,translations/duet,Duet of Dots,Western-Eastern Poets in Sympathy: Poetic Dialogue,Duet of Dots: Western-Eastern Poets in Sympathy: Poetic Dialogue,Narlan Matos; Maki Starfield,2015,Japanese Edition,JUNPA Books,,,,,,138,,,,hardback; paperback; eBook,,Portuguese; Japanese,Japanese,,Maki Starfield,Mariko Sumikura,,,James Spitzer,https://www.amazon.com/Duet-Dots-Japanese-Maki-Starfield-ebook/dp/B018PH0YCS/,,https://www.amazon.com/Duet-Dots-Japanese-Maki-Starfield-ebook/dp/B018PH0YCS/,,,/assets/images/translations/duet.jpg,,
15,translations,translated_anthology,FALSE,pesem,pesem,translations/pesem,Pesem o Vetru in Mojem Zivljenju,,Pesem o Vetru in Mojem Zivljenju,Narlan Matos,2015,,Center za slovensko književnost,,,,,,,,,,,,Portuguese,Slovenian,,Mojca Medvedšek; Blažka Müller Pograjc,,,,,,,,,,/assets/images/translations/pesem.jpg,,
