index,type,heading,collection,title,authors,publication,volume,issue,pages,year,language,description,url,publication_id,doi,worldcat_link,image,local_copy,featured,notes
1,academic_collection,,guara-dossier,"Dossiê: Narlan Matos – Fronteiras, Transgressões e Reinvenções na Linguagem",,Guará - Revista de Linguagem e Literatura,15,1,,2026,Portuguese,,https://seer.pucgoias.edu.br/index.php/guara/issue/view/488,,10.18224/gua.v15i1 ,search.worldcat.org/title/11154591366,/assets/images/criticism/guara-cover.jpg,,TRUE,
2,academic,Academic Studies,guara-dossier,"Narlan Matos: fronteiras, transgressões e reinvenções na linguagem", Elizete Albina Ferreira,Guará - Revista de Linguagem e Literatura,15,1,1--3,2026,Portuguese,,https://seer.pucgoias.edu.br/index.php/guara/article/view/15714,,10.18224/gua.v15i1.15714,https://search.worldcat.org/title/11154599815,/assets/images/criticism/guara-cover.jpg,/assets/docs/criticism/academic/2026-Guara-Ferreira.pdf,TRUE,
3,academic,Academic Studies,guara-dossier,Arborosidades II: o escritor nordestino e a transgressão,Wellington Amâncio da Silva,Guará - Revista de Linguagem e Literatura,15,1,11--15,2026,Portuguese,,https://seer.pucgoias.edu.br/index.php/guara/article/view/14668,,10.18224/gua.v15i1.14668,https://search.worldcat.org/title/11154591366,/assets/images/criticism/guara-cover.jpg,/assets/docs/criticism/academic/2026-Guara-Silva.pdf,TRUE,
4,academic,Academic Studies,guara-dossier,"Eu e tu, caminheiros: Narlan Matos e a odisseia do caminho",Cristiano Santos Araujo,Guará - Revista de Linguagem e Literatura,15,1,16-22,2026,Portuguese,,https://seer.pucgoias.edu.br/index.php/guara/article/view/15543,caminheiros,10.18224/gua.v15i1.15543,https://search.worldcat.org/title/11154592669,/assets/images/criticism/guara-cover.jpg,/assets/docs/criticism/academic/2026-Guara-Araujo.pdf,TRUE,
5,academic,Academic Studies,guara-dossier,"Imagens poéticas e o renascer da palavra em Eu e tu, caminheiros dessa vida, de Narlan Matos",Jocimar Bertelli & Antonio Donizeti da Cruz,Guará - Revista de Linguagem e Literatura,15,1,23-29,2026,Portuguese,,https://seer.pucgoias.edu.br/index.php/guara/article/view/15599,caminheiros,10.18224/gua.v15i1.15599,https://search.worldcat.org/title/11154602525,/assets/images/criticism/guara-cover.jpg,/assets/docs/criticism/academic/2026-Guara-Bertelli & Donizeti da Cruz.pdf,TRUE,
6,academic,Academic Studies,guara-dossier,¿Cómo escribir poesía después de Auschwitz?,"Lily Martinez Evangelista, José Miguel Lemus, Sandra María Pérez López",Guará - Revista de Linguagem e Literatura,15,1,30-34,2026,Spanish,,https://seer.pucgoias.edu.br/index.php/guara/article/view/15601,como-nacen,10.18224/gua.v15i1.15601,https://search.worldcat.org/title/11154602713,/assets/images/criticism/guara-cover.jpg,/assets/docs/criticism/academic/2026-Guara-Evangelista.pdf,TRUE,
7,academic,Academic Studies,,Poesia e memória em Narlan Matos: imagens poéticas,Jocimar Bertelli,ENCONTROS LITERÊRIOS-2024,19,33,107-120,2025,Portuguese,,https://d1wqtxts1xzle7.cloudfront.net/131792211/livro_eletrA_nico_ENCONTROS_LITERA_RIOS_2024_FINALA_SSIMA_01_fevereiro_2026_15h-libre.pdf?1771212323=&response-content-disposition=inline%3B+filename%3DENCONTROS_LITERARIOS_2024.pdf&Expires=1783713392&Signature=aeRjKxOTDekRmId-jzV238R-hNWvlw5yZO2tLzOJcE1z6DfODfYD~KvVIPwzQRl7EUbe3IoTdoWg8tgQhv-l9qhMbbHfLr2tyUXTzOP~kB3RpJIaWlG7CX8FNeMWy4~7F0GNFqDm4GVF2VdayU2S9QEmX79tKx1Hmz-qCxXESw7IWvYkng6AfAdRBFJFi9rfFNWREY699bIRg9gSWvNMkgjhWp14VSDwQnO-0KrKd1jIhAR1CIT5yUeuNWXiMjG8M5jrVyvcL6CAjXNTROpRT2UFzcidKIIs3-gx5CrGANgwJhhG3IoBBLTnyIN5J1RfLruOZlA996UTRuLY7AdwBQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=107,,10.48075/rlhm.v19i33.29848,,,/assets/docs/criticism/academic/2025-Bertelli.pdf,TRUE,Fonte acadêmica e entrevista com o poeta.
8,academic,Academic Studies,,"Retórica, composição e emoção entrelaçadas em poesias da obra Rebanho de Estrelas, de Narlan Matos ",Jocimar Bertelli,Temática,20,,,2024,Portuguese,,https://doi.org/10.22478/ufpb.1807-8931.2024v20n6.70444 ,rebanho,10.22478/ufpb.1807-8931.2024v20n6.70444 ,https://search.worldcat.org/title/10427887911,,/assets/docs/criticism/academic/2024-Bertelli.pdf,TRUE,
9,academic,Academic Studies,,O imaginario noturno na poetica de Narlan Matos,Vanderlei Kroin,Revista Decifrar,11,,64-80,2023,Portuguese,,,,,,,,TRUE,
10,academic,Academic Studies,,Senhoras e senhores com a palavra o poeta Narlan Matos,Jocimar Bertelli,Revista Literatura História e Memória,19,33,369-387,2023,Portuguese,,https://saber.unioeste.br/index.php/rlhm/en/article/view/29848,,10.48075/rlhm.v19i33.29848 ,https://search.worldcat.org/title/9952013941,,/assets/docs/criticism/academic/2023-Bertelli.pdf,TRUE,Entrevista acadêmica
11,academic,Academic Studies,,Reflexões sobre os descritores D8 e D12 da Prova Brasil: uma proposição de atividades para o 5º ano a partir de poesias de Narlan Matos,"Renan Paulo Bini, Solange Goretti Moreira Pizzatto, Jocimar Bertelli, Andreia Aparecida Colares, José Roberto de Souza Ferreira",Revista Thêma et Scientia,11,2,33-47,2021,Portuguese,,https://themaetscientia.fag.edu.br/index.php/rtes/article/view/1190,,,,,/assets/docs/criticism/academic/2021-Bini et al.pdf,TRUE,
12,academic,Academic Studies,,Poesia e alteridade em Narlan Matos,Jocimar Bertelli,Temática,16,9,161–176,2020,Portuguese,,https://www.periodicos.ufpb.br/index.php/tematica/article/view/55206,,10.22478/ufpb.1807-8931.2020v16n09.55206 ,,,/assets/docs/criticism/academic/2020b-Bertelli.pdf,TRUE,
